date,vaccine,vaccination_status,entries,sumTotal,pop,inz_entries,inzsumTotal,mean7d,inzmean7d,prct,prctSumTotal,prct_mean7d,geoRegion,type,type_variant,data_completeness,version
2021-03-08,moderna,fully_vaccinated,0,0,160792,0,NA,0,0,0,0,NA,CHFL,COVID19Death,vaccine,limited,2021-10-11_08-00-56
2021-03-09,moderna,fully_vaccinated,0,0,170954,0,NA,0,0,NA,0,NA,CHFL,COVID19Death,vaccine,limited,2021-10-11_08-00-56
2021-03-10,moderna,fully_vaccinated,0,0,180351,0,NA,0,0,NA,0,NA,CHFL,COVID19Death,vaccine,limited,2021-10-11_08-00-56
2021-03-11,moderna,fully_vaccinated,0,0,190767,0,NA,0,0,0,0,NA,CHFL,COVID19Death,vaccine,limited,2021-10-11_08-00-56
2021-03-12,moderna,fully_vaccinated,0,0,199436,0,NA,0,0,0,0,NA,CHFL,COVID19Death,vaccine,limited,2021-10-11_08-00-56
2021-03-13,moderna,fully_vaccinated,0,0,201266,0,NA,0,0,NA,0,NA,CHFL,COVID19Death,vaccine,limited,2021-10-11_08-00-56
2021-03-14,moderna,fully_vaccinated,0,0,201614,0,NA,0,0,0,0,NA,CHFL,COVID19Death,vaccine,limited,2021-10-11_08-00-56
2021-03-15,moderna,fully_vaccinated,0,0,208943,0,NA,0,0,0,0,NA,CHFL,COVID19Death,vaccine,limited,2021-10-11_08-00-56
2021-03-16,moderna,fully_vaccinated,0,0,217562,0,NA,0,0,0,0,NA,CHFL,COVID19Death,vaccine,limited,2021-10-11_08-00-56
2021-03-17,moderna,fully_vaccinated,0,0,226668,0,NA,0,0,0,0,NA,CHFL,COVID19Death,vaccine,limited,2021-10-11_08-00-56
2021-03-18,moderna,fully_vaccinated,0,0,235884,0,NA,0,0,0,0,NA,CHFL,COVID19Death,vaccine,limited,2021-10-11_08-00-56
2021-03-19,moderna,fully_vaccinated,0,0,243789,0,NA,0,0,0,0,NA,CHFL,COVID19Death,vaccine,limited,2021-10-11_08-00-56
2021-03-20,moderna,fully_vaccinated,0,0,245468,0,NA,0,0,NA,0,NA,CHFL,COVID19Death,vaccine,limited,2021-10-11_08-00-56
2021-03-21,moderna,fully_vaccinated,0,0,245581,0,NA,0,0,NA,0,NA,CHFL,COVID19Death,vaccine,limited,2021-10-11_08-00-56
2021-03-22,moderna,fully_vaccinated,0,0,252500,0,NA,0,0,0,0,NA,CHFL,COVID19Death,vaccine,limited,2021-10-11_08-00-56
2021-03-23,moderna,fully_vaccinated,0,0,260276,0,NA,0,0,0,0,NA,CHFL,COVID19Death,vaccine,limited,2021-10-11_08-00-56
2021-03-24,moderna,fully_vaccinated,0,0,267539,0,NA,0,0,NA,0,NA,CHFL,COVID19Death,vaccine,limited,2021-10-11_08-00-56
2021-03-25,moderna,fully_vaccinated,0,0,275397,0,NA,0,0,0,0,NA,CHFL,COVID19Death,vaccine,limited,2021-10-11_08-00-56
2021-03-26,moderna,fully_vaccinated,0,0,281413,0,NA,0,0,NA,0,NA,CHFL,COVID19Death,vaccine,limited,2021-10-11_08-00-56
2021-03-27,moderna,fully_vaccinated,0,0,282646,0,NA,0,0,0,0,NA,CHFL,COVID19Death,vaccine,limited,2021-10-11_08-00-56
2021-03-28,moderna,fully_vaccinated,0,0,283152,0,NA,0,0,NA,0,NA,CHFL,COVID19Death,vaccine,limited,2021-10-11_08-00-56
2021-03-29,moderna,fully_vaccinated,0,0,288389,0,NA,0,0,0,0,NA,CHFL,COVID19Death,vaccine,limited,2021-10-11_08-00-56
2021-03-30,moderna,fully_vaccinated,0,0,293234,0,NA,0,0,NA,0,NA,CHFL,COVID19Death,vaccine,limited,2021-10-11_08-00-56
2021-03-31,moderna,fully_vaccinated,0,0,299492,0,NA,0,0,NA,0,NA,CHFL,COVID19Death,vaccine,limited,2021-10-11_08-00-56
2021-04-01,moderna,fully_vaccinated,0,0,307419,0,NA,0,0,NA,0,NA,CHFL,COVID19Death,vaccine,limited,2021-10-11_08-00-56
2021-04-02,moderna,fully_vaccinated,0,0,309065,0,NA,0,0,NA,0,NA,CHFL,COVID19Death,vaccine,limited,2021-10-11_08-00-56
2021-04-03,moderna,fully_vaccinated,0,0,310192,0,NA,0,0,0,0,NA,CHFL,COVID19Death,vaccine,limited,2021-10-11_08-00-56
2021-04-04,moderna,fully_vaccinated,0,0,310205,0,NA,0,0,0,0,NA,CHFL,COVID19Death,vaccine,limited,2021-10-11_08-00-56
2021-04-05,moderna,fully_vaccinated,0,0,310509,0,NA,0,0,0,0,NA,CHFL,COVID19Death,vaccine,limited,2021-10-11_08-00-56
2021-04-06,moderna,fully_vaccinated,0,0,317497,0,NA,0,0,NA,0,NA,CHFL,COVID19Death,vaccine,limited,2021-10-11_08-00-56
2021-04-07,moderna,fully_vaccinated,0,0,324034,0,NA,0,0,NA,0,NA,CHFL,COVID19Death,vaccine,limited,2021-10-11_08-00-56
