date,sex,vaccination_status,entries,sumTotal,pop,inz_entries,inzsumTotal,geoRegion,type,type_variant,vaccine,data_completeness,version
202107,male,unknown,3286,15076,NA,NA,NA,CHFL,COVID19Cases,vaccine,all,limited,2021-10-11_08-00-56
202107,unknown,fully_vaccinated,0,0,12,0,NA,CHFL,COVID19Cases,vaccine,all,limited,2021-10-11_08-00-56
202107,unknown,partially_vaccinated,0,0,57,0,NA,CHFL,COVID19Cases,vaccine,all,limited,2021-10-11_08-00-56
202107,unknown,not_vaccinated,0,0,NA,NA,NA,CHFL,COVID19Cases,vaccine,all,limited,2021-10-11_08-00-56
202107,unknown,unknown,1,6,NA,NA,NA,CHFL,COVID19Cases,vaccine,all,limited,2021-10-11_08-00-56
202108,female,fully_vaccinated,9,17,150102,6,NA,CHFL,COVID19Cases,vaccine,all,limited,2021-10-11_08-00-56
202108,female,partially_vaccinated,13,73,161232,8.06,NA,CHFL,COVID19Cases,vaccine,all,limited,2021-10-11_08-00-56
202108,female,not_vaccinated,66,328,4045368,1.63,NA,CHFL,COVID19Cases,vaccine,all,limited,2021-10-11_08-00-56
202108,female,unknown,3504,19896,NA,NA,NA,CHFL,COVID19Cases,vaccine,all,limited,2021-10-11_08-00-56
202108,male,fully_vaccinated,4,9,115199,3.47,NA,CHFL,COVID19Cases,vaccine,all,limited,2021-10-11_08-00-56
202108,male,partially_vaccinated,9,42,119751,7.52,NA,CHFL,COVID19Cases,vaccine,all,limited,2021-10-11_08-00-56
202108,male,not_vaccinated,90,393,4053128,2.22,NA,CHFL,COVID19Cases,vaccine,all,limited,2021-10-11_08-00-56
202108,male,unknown,3544,18620,NA,NA,NA,CHFL,COVID19Cases,vaccine,all,limited,2021-10-11_08-00-56
202108,unknown,fully_vaccinated,0,0,25,0,NA,CHFL,COVID19Cases,vaccine,all,limited,2021-10-11_08-00-56
202108,unknown,partially_vaccinated,0,0,47,0,NA,CHFL,COVID19Cases,vaccine,all,limited,2021-10-11_08-00-56
202108,unknown,not_vaccinated,0,0,NA,NA,NA,CHFL,COVID19Cases,vaccine,all,limited,2021-10-11_08-00-56
202108,unknown,unknown,3,9,NA,NA,NA,CHFL,COVID19Cases,vaccine,all,limited,2021-10-11_08-00-56
202109,female,fully_vaccinated,3,20,193559,1.55,NA,CHFL,COVID19Cases,vaccine,all,limited,2021-10-11_08-00-56
202109,female,partially_vaccinated,14,87,159396,8.78,NA,CHFL,COVID19Cases,vaccine,all,limited,2021-10-11_08-00-56
202109,female,not_vaccinated,66,394,4003747,1.65,NA,CHFL,COVID19Cases,vaccine,all,limited,2021-10-11_08-00-56
