date,sex,vaccination_status,entries,sumTotal,pop,inz_entries,inzsumTotal,geoRegion,type,type_variant,vaccine,data_completeness,version
202107,male,unknown,123,583,NA,NA,NA,CHFL,COVID19Hosp,vaccine,all,limited,2021-10-11_08-00-56
202107,unknown,fully_vaccinated,0,0,12,0,NA,CHFL,COVID19Hosp,vaccine,all,limited,2021-10-11_08-00-56
202107,unknown,partially_vaccinated,0,0,57,0,NA,CHFL,COVID19Hosp,vaccine,all,limited,2021-10-11_08-00-56
202107,unknown,not_vaccinated,0,0,NA,NA,NA,CHFL,COVID19Hosp,vaccine,all,limited,2021-10-11_08-00-56
202107,unknown,unknown,0,1,NA,NA,NA,CHFL,COVID19Hosp,vaccine,all,limited,2021-10-11_08-00-56
202108,female,fully_vaccinated,4,8,150102,2.66,NA,CHFL,COVID19Hosp,vaccine,all,limited,2021-10-11_08-00-56
202108,female,partially_vaccinated,4,15,161232,2.48,NA,CHFL,COVID19Hosp,vaccine,all,limited,2021-10-11_08-00-56
202108,female,not_vaccinated,39,222,4045368,0.96,NA,CHFL,COVID19Hosp,vaccine,all,limited,2021-10-11_08-00-56
202108,female,unknown,85,582,NA,NA,NA,CHFL,COVID19Hosp,vaccine,all,limited,2021-10-11_08-00-56
202108,male,fully_vaccinated,4,7,115199,3.47,NA,CHFL,COVID19Hosp,vaccine,all,limited,2021-10-11_08-00-56
202108,male,partially_vaccinated,2,13,119751,1.67,NA,CHFL,COVID19Hosp,vaccine,all,limited,2021-10-11_08-00-56
202108,male,not_vaccinated,57,297,4053128,1.41,NA,CHFL,COVID19Hosp,vaccine,all,limited,2021-10-11_08-00-56
202108,male,unknown,92,675,NA,NA,NA,CHFL,COVID19Hosp,vaccine,all,limited,2021-10-11_08-00-56
202108,unknown,fully_vaccinated,0,0,25,0,NA,CHFL,COVID19Hosp,vaccine,all,limited,2021-10-11_08-00-56
202108,unknown,partially_vaccinated,0,0,47,0,NA,CHFL,COVID19Hosp,vaccine,all,limited,2021-10-11_08-00-56
202108,unknown,not_vaccinated,0,0,NA,NA,NA,CHFL,COVID19Hosp,vaccine,all,limited,2021-10-11_08-00-56
202108,unknown,unknown,0,1,NA,NA,NA,CHFL,COVID19Hosp,vaccine,all,limited,2021-10-11_08-00-56
202109,female,fully_vaccinated,1,9,193559,0.52,NA,CHFL,COVID19Hosp,vaccine,all,limited,2021-10-11_08-00-56
202109,female,partially_vaccinated,4,19,159396,2.51,NA,CHFL,COVID19Hosp,vaccine,all,limited,2021-10-11_08-00-56
202109,female,not_vaccinated,67,289,4003747,1.67,NA,CHFL,COVID19Hosp,vaccine,all,limited,2021-10-11_08-00-56
202109,female,unknown,69,651,NA,NA,NA,CHFL,COVID19Hosp,vaccine,all,limited,2021-10-11_08-00-56
202109,male,fully_vaccinated,5,12,148445,3.37,NA,CHFL,COVID19Hosp,vaccine,all,limited,2021-10-11_08-00-56
202109,male,partially_vaccinated,3,16,120051,2.5,NA,CHFL,COVID19Hosp,vaccine,all,limited,2021-10-11_08-00-56
202109,male,not_vaccinated,75,372,4019582,1.87,NA,CHFL,COVID19Hosp,vaccine,all,limited,2021-10-11_08-00-56
202109,male,unknown,111,786,NA,NA,NA,CHFL,COVID19Hosp,vaccine,all,limited,2021-10-11_08-00-56
202109,unknown,fully_vaccinated,0,0,37,0,NA,CHFL,COVID19Hosp,vaccine,all,limited,2021-10-11_08-00-56
202109,unknown,partially_vaccinated,0,0,41,0,NA,CHFL,COVID19Hosp,vaccine,all,limited,2021-10-11_08-00-56
202109,unknown,not_vaccinated,0,0,NA,NA,NA,CHFL,COVID19Hosp,vaccine,all,limited,2021-10-11_08-00-56
202109,unknown,unknown,0,1,NA,NA,NA,CHFL,COVID19Hosp,vaccine,all,limited,2021-10-11_08-00-56
202110,female,fully_vaccinated,3,12,229220,1.31,NA,CHFL,COVID19Hosp,vaccine,all,limited,2021-10-11_08-00-56
202110,female,partially_vaccinated,6,25,174358,3.44,NA,CHFL,COVID19Hosp,vaccine,all,limited,2021-10-11_08-00-56
202110,female,not_vaccinated,74,363,3953124,1.87,NA,CHFL,COVID19Hosp,vaccine,all,limited,2021-10-11_08-00-56
202110,female,unknown,106,757,NA,NA,NA,CHFL,COVID19Hosp,vaccine,all,limited,2021-10-11_08-00-56
202110,male,fully_vaccinated,2,14,174999,1.14,NA,CHFL,COVID19Hosp,vaccine,all,limited,2021-10-11_08-00-56
202110,male,partially_vaccinated,1,17,132874,0.75,NA,CHFL,COVID19Hosp,vaccine,all,limited,2021-10-11_08-00-56
202110,male,not_vaccinated,69,441,3980205,1.73,NA,CHFL,COVID19Hosp,vaccine,all,limited,2021-10-11_08-00-56
202110,male,unknown,114,900,NA,NA,NA,CHFL,COVID19Hosp,vaccine,all,limited,2021-10-11_08-00-56
202110,unknown,fully_vaccinated,0,0,46,0,NA,CHFL,COVID19Hosp,vaccine,all,limited,2021-10-11_08-00-56
202110,unknown,partially_vaccinated,0,0,41,0,NA,CHFL,COVID19Hosp,vaccine,all,limited,2021-10-11_08-00-56
202110,unknown,not_vaccinated,0,0,NA,NA,NA,CHFL,COVID19Hosp,vaccine,all,limited,2021-10-11_08-00-56
202110,unknown,unknown,0,1,NA,NA,NA,CHFL,COVID19Hosp,vaccine,all,limited,2021-10-11_08-00-56
202111,female,fully_vaccinated,4,16,273065,1.46,NA,CHFL,COVID19Hosp,vaccine,all,limited,2021-10-11_08-00-56
202111,female,partially_vaccinated,1,26,172803,0.58,NA,CHFL,COVID19Hosp,vaccine,all,limited,2021-10-11_08-00-56
202111,female,not_vaccinated,70,433,3910834,1.79,NA,CHFL,COVID19Hosp,vaccine,all,limited,2021-10-11_08-00-56
202111,female,unknown,111,868,NA,NA,NA,CHFL,COVID19Hosp,vaccine,all,limited,2021-10-11_08-00-56
202111,male,fully_vaccinated,3,17,204906,1.46,NA,CHFL,COVID19Hosp,vaccine,all,limited,2021-10-11_08-00-56
202111,male,partially_vaccinated,10,27,138342,7.23,NA,CHFL,COVID19Hosp,vaccine,all,limited,2021-10-11_08-00-56
202111,male,not_vaccinated,95,536,3944830,2.41,NA,CHFL,COVID19Hosp,vaccine,all,limited,2021-10-11_08-00-56
202111,male,unknown,125,1025,NA,NA,NA,CHFL,COVID19Hosp,vaccine,all,limited,2021-10-11_08-00-56
202111,unknown,fully_vaccinated,0,0,64,0,NA,CHFL,COVID19Hosp,vaccine,all,limited,2021-10-11_08-00-56
202111,unknown,partially_vaccinated,0,0,73,0,NA,CHFL,COVID19Hosp,vaccine,all,limited,2021-10-11_08-00-56
202111,unknown,not_vaccinated,0,0,NA,NA,NA,CHFL,COVID19Hosp,vaccine,all,limited,2021-10-11_08-00-56
202111,unknown,unknown,0,1,NA,NA,NA,CHFL,COVID19Hosp,vaccine,all,limited,2021-10-11_08-00-56
202112,female,fully_vaccinated,2,18,312239,0.64,NA,CHFL,COVID19Hosp,vaccine,all,limited,2021-10-11_08-00-56
202112,female,partially_vaccinated,2,28,195125,1.02,NA,CHFL,COVID19Hosp,vaccine,all,limited,2021-10-11_08-00-56
202112,female,not_vaccinated,95,528,3849338,2.47,NA,CHFL,COVID19Hosp,vaccine,all,limited,2021-10-11_08-00-56
202112,female,unknown,119,987,NA,NA,NA,CHFL,COVID19Hosp,vaccine,all,limited,2021-10-11_08-00-56
202112,male,fully_vaccinated,4,21,235136,1.7,NA,CHFL,COVID19Hosp,vaccine,all,limited,2021-10-11_08-00-56
202112,male,partially_vaccinated,3,30,160262,1.87,NA,CHFL,COVID19Hosp,vaccine,all,limited,2021-10-11_08-00-56
202112,male,not_vaccinated,109,645,3892680,2.8,NA,CHFL,COVID19Hosp,vaccine,all,limited,2021-10-11_08-00-56
202112,male,unknown,142,1167,NA,NA,NA,CHFL,COVID19Hosp,vaccine,all,limited,2021-10-11_08-00-56
202112,unknown,fully_vaccinated,0,0,69,0,NA,CHFL,COVID19Hosp,vaccine,all,limited,2021-10-11_08-00-56
