geoRegion,datum,entries,timeframe_all,timeframe_phase2,timeframe_phase2b,timeframe_phase3,timeframe_phase4,timeframe_vacc_info,timeframe_28d,timeframe_14d,sumTotal,offset_vacc_info,sumTotal_vacc_info,freq,prct,pop,inz_entries,inzsumTotal,type,type_variant,version,datum_unit,datum_dboardformated,entries_diff_abs,entries_diff_inz,entries_diff_pct,prct_diff
FR,202137,9,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,1279,994,285,1,100,321783,2.8,397.47,COVID19Hosp,,2021-10-11_08-00-56,isoweek,2021-37,-1,-0.31,-10,0
GE,202137,16,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,1944,1116,828,1,100,504128,3.17,385.62,COVID19Hosp,,2021-10-11_08-00-56,isoweek,2021-37,-9,-1.79,-36,0
GL,202137,8,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,217,109,108,1,100,40590,19.71,534.61,COVID19Hosp,,2021-10-11_08-00-56,isoweek,2021-37,3,7.39,60,0
GR,202137,4,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,659,487,172,1,100,199021,2.01,331.12,COVID19Hosp,,2021-10-11_08-00-56,isoweek,2021-37,-1,-0.5,-20,0
JU,202137,0,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,209,181,28,NA,NA,73584,0,284.03,COVID19Hosp,,2021-10-11_08-00-56,isoweek,2021-37,0,0,NA,NA
LU,202137,20,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,1042,617,425,1,100,413120,4.84,252.23,COVID19Hosp,,2021-10-11_08-00-56,isoweek,2021-37,-1,-0.24,-4.8,0
NE,202137,5,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,915,711,204,1,100,176496,2.83,518.43,COVID19Hosp,,2021-10-11_08-00-56,isoweek,2021-37,-4,-2.27,-44.4,0
NW,202137,3,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,142,84,58,1,100,43087,6.96,329.57,COVID19Hosp,,2021-10-11_08-00-56,isoweek,2021-37,1,2.32,50,0
OW,202137,4,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,175,93,82,1,100,37930,10.55,461.38,COVID19Hosp,,2021-10-11_08-00-56,isoweek,2021-37,2,5.28,100,0
SG,202137,20,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,1847,1288,559,1,100,510734,3.92,361.64,COVID19Hosp,,2021-10-11_08-00-56,isoweek,2021-37,1,0.2,5.3,0
