nachweismethode,geoRegion,datum,entries,entries_pos,entries_neg,sumTotal,anteil_pos,anteil_pos_diff,anteil_pos_all,freq,prct,pop,inz_entries,inzsumTotal,type,type_variant,version,datum_unit,datum_dboardformated,entries_diff_abs,entries_diff_inz,entries_diff_pct,prct_diff,timeframe_all,timeframe_phase2,timeframe_phase2b,timeframe_phase3,timeframe_phase4,timeframe_28d,timeframe_14d
all,FR,202138,10712,362,10350,341980,3.4,-2.3000000000000003,10.9,1,100,321783,3328.95,106276.59,COVID19Test,,2021-10-11_08-00-56,isoweek,2021-38,930,289.01,9.5,0,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
all,GE,202138,19946,554,19392,875364,2.8,-0.8000000000000003,9,1,100,504128,3956.53,173639.23,COVID19Test,,2021-10-11_08-00-56,isoweek,2021-38,221,43.83,1.1,0,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
all,GL,202138,1337,86,1251,44061,6.4,-3.799999999999999,9.8,1,100,40590,3293.91,108551.37,COVID19Test,,2021-10-11_08-00-56,isoweek,2021-38,-626,-1542.26,-31.9,0,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
all,GR,202138,4016,243,3773,331316,6.1,0.09999999999999964,5.3,1,100,199021,2017.88,166472.88,COVID19Test,,2021-10-11_08-00-56,isoweek,2021-38,-579,-290.92,-12.6,0,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
all,JU,202138,823,65,758,67549,7.9,0.10000000000000053,12.8,1,100,73584,1118.45,91798.49,COVID19Test,,2021-10-11_08-00-56,isoweek,2021-38,-225,-305.77,-21.5,0,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
all,LU,202138,16592,788,15804,367026,4.7,-1.5,10.3,1,100,413120,4016.27,88842.47,COVID19Test,,2021-10-11_08-00-56,isoweek,2021-38,1059,256.35,6.8,0,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
all,NE,202138,2466,228,2238,200441,9.2,1,10.2,1,100,176496,1397.2,113566.88,COVID19Test,,2021-10-11_08-00-56,isoweek,2021-38,-758,-429.47,-23.5,0,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
all,NW,202138,3626,44,3582,48683,1.2,-1.0999999999999999,6.8,1,100,43087,8415.53,112987.68,COVID19Test,,2021-10-11_08-00-56,isoweek,2021-38,250,580.22,7.4,0,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
all,OW,202138,1387,123,1264,36562,8.9,-3.299999999999999,10.3,1,100,37930,3656.74,96393.36,COVID19Test,,2021-10-11_08-00-56,isoweek,2021-38,-125,-329.55,-8.3,0,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
all,SG,202138,10471,933,9538,467024,8.9,-2.6999999999999993,12,1,100,510734,2050.19,91441.73,COVID19Test,,2021-10-11_08-00-56,isoweek,2021-38,-1755,-343.62,-14.4,0,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
all,SH,202138,1837,95,1742,81537,5.2,-0.7000000000000002,8.3,1,100,82348,2230.78,99015.16,COVID19Test,,2021-10-11_08-00-56,isoweek,2021-38,-128,-155.43,-6.5,0,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
all,SO,202138,14368,210,14158,335832,1.5,-1.1,7.2,1,100,275247,5220.04,122011.14,COVID19Test,,2021-10-11_08-00-56,isoweek,2021-38,-1208,-438.88,-7.8,0,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
all,SZ,202138,4299,369,3930,158389,8.6,-2.4000000000000004,10.3,1,100,160480,2678.84,98697.03,COVID19Test,,2021-10-11_08-00-56,isoweek,2021-38,15,9.35,0.4,0,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
all,TG,202138,5725,511,5214,260299,8.9,-1.5999999999999996,9.9,1,100,279547,2047.96,93114.57,COVID19Test,,2021-10-11_08-00-56,isoweek,2021-38,-1866,-667.5,-24.6,0,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
all,TI,202138,5169,187,4982,400055,3.6,-0.6000000000000001,9,1,100,351491,1470.59,113816.57,COVID19Test,,2021-10-11_08-00-56,isoweek,2021-38,98,27.88,1.9,0,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
all,UR,202138,4472,136,4336,71941,3,0.8999999999999999,5.5,1,100,36703,12184.29,196008.5,COVID19Test,,2021-10-11_08-00-56,isoweek,2021-38,409,1114.35,10.1,0,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
all,VD,202138,14567,898,13669,1135445,6.2,0.20000000000000018,8.7,1,100,805098,1809.34,141031.9,COVID19Test,,2021-10-11_08-00-56,isoweek,2021-38,-2818,-350.02,-16.2,0,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
all,VS,202138,8176,373,7803,393414,4.6,-1.2000000000000002,11,1,100,345525,2366.25,113859.78,COVID19Test,,2021-10-11_08-00-56,isoweek,2021-38,-798,-230.96,-8.9,0,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
all,ZG,202138,5575,153,5422,202210,2.7,-1.0999999999999996,5.5,1,100,127642,4367.68,158419.64,COVID19Test,,2021-10-11_08-00-56,isoweek,2021-38,278,217.79,5.2,0,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
all,ZH,202138,35556,1997,33559,1932173,5.6,-1.9000000000000004,7.8,1,100,1539275,2309.92,125524.87,COVID19Test,,2021-10-11_08-00-56,isoweek,2021-38,-4258,-276.62,-10.7,0,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
all,AG,202139,18881,582,18299,707943,3.1,-1.1,8.8,1,100,685845,2752.95,103222.01,COVID19Test,,2021-10-11_08-00-56,isoweek,2021-39,1470,214.33,8.4,0,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
all,AI,202139,353,34,319,20505,9.6,0.7999999999999989,9.3,1,100,16128,2188.74,127139.14,COVID19Test,,2021-10-11_08-00-56,isoweek,2021-39,-56,-347.22,-13.7,0,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
