date,vaccine,vaccination_status,entries,sumTotal,pop,inz_entries,inzsumTotal,mean7d,inzmean7d,prct,prctSumTotal,prct_mean7d,geoRegion,type,type_variant,data_completeness,version
2021-04-26,all,not_vaccinated,56,2657,6995373,0.8,NA,35.57,0.51,2.28,1.95,1.91,CHFL,COVID19Cases,vaccine,limited,2021-10-11_08-00-56
2021-04-26,all,unknown,2381,133302,NA,NA,NA,1819.57,NA,96.91,97.61,97.35,CHFL,COVID19Cases,vaccine,limited,2021-10-11_08-00-56
2021-04-27,all,fully_vaccinated,12,312,942601,1.27,NA,7,0.74,0.59,0.23,0.39,CHFL,COVID19Cases,vaccine,limited,2021-10-11_08-00-56
2021-04-27,all,partially_vaccinated,8,314,757639,1.06,NA,6.86,0.91,0.39,0.23,0.38,CHFL,COVID19Cases,vaccine,limited,2021-10-11_08-00-56
2021-04-27,all,not_vaccinated,38,2695,6944540,0.55,NA,32.71,0.47,1.85,1.94,1.83,CHFL,COVID19Cases,vaccine,limited,2021-10-11_08-00-56
2021-04-27,all,unknown,1992,135294,NA,NA,NA,1751.43,NA,97.17,97.6,97.41,CHFL,COVID19Cases,vaccine,limited,2021-10-11_08-00-56
2021-04-28,all,fully_vaccinated,3,315,964644,0.31,NA,7.29,0.76,0.15,0.22,0.42,CHFL,COVID19Cases,vaccine,limited,2021-10-11_08-00-56
2021-04-28,all,partially_vaccinated,10,324,788930,1.27,NA,6.71,0.85,0.5,0.23,0.38,CHFL,COVID19Cases,vaccine,limited,2021-10-11_08-00-56
2021-04-28,all,not_vaccinated,31,2726,6891206,0.45,NA,30,0.44,1.54,1.94,1.66,CHFL,COVID19Cases,vaccine,limited,2021-10-11_08-00-56
2021-04-28,all,unknown,1972,137266,NA,NA,NA,1711,NA,97.82,97.61,97.54,CHFL,COVID19Cases,vaccine,limited,2021-10-11_08-00-56
2021-04-29,all,fully_vaccinated,7,322,988240,0.71,NA,6.86,0.69,0.41,0.23,0.4,CHFL,COVID19Cases,vaccine,limited,2021-10-11_08-00-56
2021-04-29,all,partially_vaccinated,10,334,816700,1.22,NA,7,0.86,0.58,0.23,0.44,CHFL,COVID19Cases,vaccine,limited,2021-10-11_08-00-56
2021-04-29,all,not_vaccinated,19,2745,6839840,0.28,NA,27.43,0.4,1.1,1.93,1.51,CHFL,COVID19Cases,vaccine,limited,2021-10-11_08-00-56
2021-04-29,all,unknown,1685,138951,NA,NA,NA,1662.29,NA,97.91,97.61,97.65,CHFL,COVID19Cases,vaccine,limited,2021-10-11_08-00-56
2021-04-30,all,fully_vaccinated,5,327,1000982,0.5,NA,5.86,0.59,0.3,0.23,0.37,CHFL,COVID19Cases,vaccine,limited,2021-10-11_08-00-56
2021-04-30,all,partially_vaccinated,4,338,857994,0.47,NA,6.57,0.77,0.24,0.23,0.42,CHFL,COVID19Cases,vaccine,limited,2021-10-11_08-00-56
2021-04-30,all,not_vaccinated,27,2772,6785804,0.4,NA,23.86,0.35,1.6,1.92,1.4,CHFL,COVID19Cases,vaccine,limited,2021-10-11_08-00-56
2021-04-30,all,unknown,1648,140599,NA,NA,NA,1605.71,NA,97.86,97.61,97.81,CHFL,COVID19Cases,vaccine,limited,2021-10-11_08-00-56
2021-05-01,all,fully_vaccinated,6,333,1004929,0.6,NA,5.86,0.58,0.52,0.23,0.38,CHFL,COVID19Cases,vaccine,limited,2021-10-11_08-00-56
2021-05-01,all,partially_vaccinated,2,340,880930,0.23,NA,6.29,0.71,0.17,0.23,0.42,CHFL,COVID19Cases,vaccine,limited,2021-10-11_08-00-56
2021-05-01,all,not_vaccinated,9,2781,6758921,0.13,NA,22.29,0.33,0.77,1.92,1.36,CHFL,COVID19Cases,vaccine,limited,2021-10-11_08-00-56
2021-05-01,all,unknown,1147,141746,NA,NA,NA,1563.29,NA,98.54,97.62,97.84,CHFL,COVID19Cases,vaccine,limited,2021-10-11_08-00-56
2021-05-02,all,fully_vaccinated,3,336,1005936,0.3,NA,5.57,0.55,0.36,0.23,0.37,CHFL,COVID19Cases,vaccine,limited,2021-10-11_08-00-56
2021-05-02,all,partially_vaccinated,7,347,891917,0.78,NA,5.43,0.61,0.84,0.24,0.38,CHFL,COVID19Cases,vaccine,limited,2021-10-11_08-00-56
2021-05-02,all,not_vaccinated,12,2793,6746927,0.18,NA,21.14,0.31,1.44,1.91,1.34,CHFL,COVID19Cases,vaccine,limited,2021-10-11_08-00-56
2021-05-02,all,unknown,811,142557,NA,NA,NA,1513.57,NA,97.36,97.62,97.91,CHFL,COVID19Cases,vaccine,limited,2021-10-11_08-00-56
2021-05-03,all,fully_vaccinated,5,341,1016439,0.49,NA,5,0.49,0.25,0.23,0.34,CHFL,COVID19Cases,vaccine,limited,2021-10-11_08-00-56
2021-05-03,all,partially_vaccinated,5,352,933937,0.54,NA,4.71,0.5,0.25,0.24,0.35,CHFL,COVID19Cases,vaccine,limited,2021-10-11_08-00-56
2021-05-03,all,not_vaccinated,31,2824,6694404,0.46,NA,22.57,0.34,1.53,1.91,1.46,CHFL,COVID19Cases,vaccine,limited,2021-10-11_08-00-56
2021-05-03,all,unknown,1985,144542,NA,NA,NA,1480,NA,97.98,97.62,97.85,CHFL,COVID19Cases,vaccine,limited,2021-10-11_08-00-56
2021-05-04,all,fully_vaccinated,12,353,1038416,1.16,NA,5.29,0.51,0.69,0.24,0.36,CHFL,COVID19Cases,vaccine,limited,2021-10-11_08-00-56
2021-05-04,all,partially_vaccinated,6,358,968278,0.62,NA,4.86,0.5,0.34,0.24,0.36,CHFL,COVID19Cases,vaccine,limited,2021-10-11_08-00-56
2021-05-04,all,not_vaccinated,27,2851,6638086,0.41,NA,22.86,0.34,1.55,1.9,1.5,CHFL,COVID19Cases,vaccine,limited,2021-10-11_08-00-56
2021-05-04,all,unknown,1695,146237,NA,NA,NA,1463.86,NA,97.41,97.62,97.79,CHFL,COVID19Cases,vaccine,limited,2021-10-11_08-00-56
