date,vaccine,vaccination_status,entries,sumTotal,pop,inz_entries,inzsumTotal,mean7d,inzmean7d,prct,prctSumTotal,prct_mean7d,geoRegion,type,type_variant,data_completeness,version
2021-03-05,moderna,fully_vaccinated,1,8,150391,0.66,NA,0.57,0.38,100,16.33,NA,CHFL,COVID19Hosp,vaccine,limited,2021-10-11_08-00-56
2021-03-06,moderna,fully_vaccinated,0,8,152311,0,NA,0.29,0.19,0,16,NA,CHFL,COVID19Hosp,vaccine,limited,2021-10-11_08-00-56
2021-03-07,moderna,fully_vaccinated,0,8,153110,0,NA,0.29,0.19,0,15.38,NA,CHFL,COVID19Hosp,vaccine,limited,2021-10-11_08-00-56
2021-03-08,moderna,fully_vaccinated,0,8,160792,0,NA,0.29,0.18,NA,15.38,NA,CHFL,COVID19Hosp,vaccine,limited,2021-10-11_08-00-56
2021-03-09,moderna,fully_vaccinated,0,8,170954,0,NA,0.29,0.17,0,15.09,NA,CHFL,COVID19Hosp,vaccine,limited,2021-10-11_08-00-56
2021-03-10,moderna,fully_vaccinated,1,9,180351,0.55,NA,0.29,0.16,100,16.67,NA,CHFL,COVID19Hosp,vaccine,limited,2021-10-11_08-00-56
2021-03-11,moderna,fully_vaccinated,0,9,190767,0,NA,0.29,0.15,0,16.07,NA,CHFL,COVID19Hosp,vaccine,limited,2021-10-11_08-00-56
2021-03-12,moderna,fully_vaccinated,1,10,199436,0.5,NA,0.29,0.15,33.33,16.95,19.05,CHFL,COVID19Hosp,vaccine,limited,2021-10-11_08-00-56
2021-03-13,moderna,fully_vaccinated,0,10,201266,0,NA,0.29,0.14,0,16.67,19.05,CHFL,COVID19Hosp,vaccine,limited,2021-10-11_08-00-56
2021-03-14,moderna,fully_vaccinated,0,10,201614,0,NA,0.14,0.07,0,15.87,4.76,CHFL,COVID19Hosp,vaccine,limited,2021-10-11_08-00-56
2021-03-15,moderna,fully_vaccinated,0,10,208943,0,NA,0.14,0.07,0,15.38,4.76,CHFL,COVID19Hosp,vaccine,limited,2021-10-11_08-00-56
2021-03-16,moderna,fully_vaccinated,0,10,217562,0,NA,0,0,0,15.15,0,CHFL,COVID19Hosp,vaccine,limited,2021-10-11_08-00-56
