geoRegion,datum,entries,sumTotal,timeframe_7d,offset_last7d,sumTotal_last7d,timeframe_14d,offset_last14d,sumTotal_last14d,timeframe_28d,offset_last28d,sumTotal_last28d,timeframe_phase2,offset_Phase2,sumTotal_Phase2,timeframe_phase2b,offset_Phase2b,sumTotal_Phase2b,timeframe_phase3,offset_Phase3,sumTotal_Phase3,timeframe_vacc_info,offset_vacc_info,sumTotal_vacc_info,timeframe_phase4,offset_Phase4,sumTotal_Phase4,sum7d,sum14d,mean7d,mean14d,timeframe_all,entries_diff_last_age,pop,inz_entries,inzmean7d,inzmean14d,inzsumTotal,inzsumTotal_last7d,inzsumTotal_last14d,inzsumTotal_last28d,inzsumTotal_Phase2,inzsumTotal_Phase2b,inzsumTotal_Phase3,inzsumTotal_Phase4,inzsum7d,inzsum14d,sumdelta7d,inzdelta7d,type,type_variant,version,datum_unit,entries_letzter_stand,entries_neu_gemeldet,entries_diff_last
CH,2020-03-07,0,2,FALSE,10674,0,FALSE,10645,0,FALSE,10565,0,FALSE,1725,0,FALSE,1829,0,FALSE,9468,0,FALSE,9006,0,FALSE,10350,0,2,NA,0.71,1.43,TRUE,3,8606033,0,0.01,0.02,0.02,NA,NA,NA,NA,NA,NA,NA,0.02,NA,0,0,COVID19Death,,2021-10-11_08-00-56,day,0,0,8
CH,2020-03-08,1,3,FALSE,10674,0,FALSE,10645,0,FALSE,10565,0,FALSE,1725,0,FALSE,1829,0,FALSE,9468,0,FALSE,9006,0,FALSE,10350,0,3,3,1.14,2,TRUE,3,8606033,0.01,0.01,0.02,0.03,NA,NA,NA,NA,NA,NA,NA,0.03,0.03,1,0.009999999999999998,COVID19Death,,2021-10-11_08-00-56,day,1,0,8
CH,2020-03-09,0,3,FALSE,10674,0,FALSE,10645,0,FALSE,10565,0,FALSE,1725,0,FALSE,1829,0,FALSE,9468,0,FALSE,9006,0,FALSE,10350,0,3,3,1.43,2.5,TRUE,3,8606033,0,0.02,0.03,0.03,NA,NA,NA,NA,NA,NA,NA,0.03,0.03,0,0,COVID19Death,,2021-10-11_08-00-56,day,0,0,8
CH,2020-03-10,2,5,FALSE,10674,0,FALSE,10645,0,FALSE,10565,0,FALSE,1725,0,FALSE,1829,0,FALSE,9468,0,FALSE,9006,0,FALSE,10350,0,5,5,1.86,3.36,TRUE,3,8606033,0.02,0.02,0.04,0.06,NA,NA,NA,NA,NA,NA,NA,0.06,0.06,2,0.03,COVID19Death,,2021-10-11_08-00-56,day,2,0,8
CH,2020-03-11,3,8,FALSE,10674,0,FALSE,10645,0,FALSE,10565,0,FALSE,1725,0,FALSE,1829,0,FALSE,9468,0,FALSE,9006,0,FALSE,10350,0,8,8,2.57,3.93,TRUE,3,8606033,0.03,0.03,0.05,0.09,NA,NA,NA,NA,NA,NA,NA,0.09,0.09,3,0.03,COVID19Death,,2021-10-11_08-00-56,day,3,0,8
CH,2020-03-12,4,12,FALSE,10674,0,FALSE,10645,0,FALSE,10565,0,FALSE,1725,0,FALSE,1829,0,FALSE,9468,0,FALSE,9006,0,FALSE,10350,0,10,12,3.57,4.79,TRUE,3,8606033,0.05,0.04,0.06,0.14,NA,NA,NA,NA,NA,NA,NA,0.12,0.14,2,0.03,COVID19Death,,2021-10-11_08-00-56,day,4,0,8
CH,2020-03-13,3,15,FALSE,10674,0,FALSE,10645,0,FALSE,10565,0,FALSE,1725,0,FALSE,1829,0,FALSE,9468,0,FALSE,9006,0,FALSE,10350,0,13,15,4.57,6.29,TRUE,3,8606033,0.03,0.05,0.07,0.17,NA,NA,NA,NA,NA,NA,NA,0.15,0.17,3,0.03,COVID19Death,,2021-10-11_08-00-56,day,3,0,8
CH,2020-03-14,5,20,FALSE,10674,0,FALSE,10645,0,FALSE,10565,0,FALSE,1725,0,FALSE,1829,0,FALSE,9468,0,FALSE,9006,0,FALSE,10350,0,18,20,6,7.64,TRUE,3,8606033,0.06,0.07,0.09,0.23,NA,NA,NA,NA,NA,NA,NA,0.21,0.23,5,0.06,COVID19Death,,2021-10-11_08-00-56,day,5,0,8
CH,2020-03-15,8,28,FALSE,10674,0,FALSE,10645,0,FALSE,10565,0,FALSE,1725,0,FALSE,1829,0,FALSE,9468,0,FALSE,9006,0,FALSE,10350,0,25,28,6.71,8.86,TRUE,3,8606033,0.09,0.08,0.1,0.33,NA,NA,NA,NA,NA,NA,NA,0.29,0.33,7,0.07999999999999999,COVID19Death,,2021-10-11_08-00-56,day,8,0,8
CH,2020-03-16,7,35,FALSE,10674,0,FALSE,10645,0,FALSE,10565,0,FALSE,1725,0,FALSE,1829,0,FALSE,9468,0,FALSE,9006,0,FALSE,10350,0,32,35,8.14,10.5,TRUE,3,8606033,0.08,0.09,0.12,0.41,NA,NA,NA,NA,NA,NA,NA,0.37,0.41,7,0.08000000000000002,COVID19Death,,2021-10-11_08-00-56,day,7,0,8
CH,2020-03-17,12,47,FALSE,10674,0,FALSE,10645,0,FALSE,10565,0,FALSE,1725,0,FALSE,1829,0,FALSE,9468,0,FALSE,9006,0,FALSE,10350,0,42,47,10.71,11.71,TRUE,3,8606033,0.14,0.12,0.14,0.55,NA,NA,NA,NA,NA,NA,NA,0.49,0.55,10,0.12,COVID19Death,,2021-10-11_08-00-56,day,12,0,8
CH,2020-03-18,8,55,FALSE,10674,0,FALSE,10645,0,FALSE,10565,0,FALSE,1725,0,FALSE,1829,0,FALSE,9468,0,FALSE,9006,0,FALSE,10350,0,47,55,12.71,14.29,TRUE,3,8606033,0.09,0.15,0.17,0.64,NA,NA,NA,NA,NA,NA,NA,0.55,0.64,5,0.06000000000000005,COVID19Death,,2021-10-11_08-00-56,day,8,0,8
CH,2020-03-19,14,69,FALSE,10674,0,FALSE,10645,0,FALSE,10565,0,FALSE,1725,0,FALSE,1829,0,FALSE,9468,0,FALSE,9006,0,FALSE,10350,0,57,67,14.14,16.71,TRUE,3,8606033,0.16,0.16,0.19,0.8,NA,NA,NA,NA,NA,NA,NA,0.66,0.78,10,0.10999999999999999,COVID19Death,,2021-10-11_08-00-56,day,14,0,8
CH,2020-03-20,21,90,FALSE,10674,0,FALSE,10645,0,FALSE,10565,0,FALSE,1725,0,FALSE,1829,0,FALSE,9468,0,FALSE,9006,0,FALSE,10350,0,75,88,16.43,18.79,TRUE,3,8606033,0.24,0.19,0.22,1.05,NA,NA,NA,NA,NA,NA,NA,0.87,1.02,18,0.20999999999999996,COVID19Death,,2021-10-11_08-00-56,day,21,0,8
CH,2020-03-21,19,109,FALSE,10674,0,FALSE,10645,0,FALSE,10565,0,FALSE,1725,0,FALSE,1829,0,FALSE,9468,0,FALSE,9006,0,FALSE,10350,0,89,107,17.43,22.5,TRUE,3,8606033,0.22,0.2,0.26,1.27,NA,NA,NA,NA,NA,NA,NA,1.03,1.24,14,0.16000000000000003,COVID19Death,,2021-10-11_08-00-56,day,19,0,8
CH,2020-03-22,18,127,FALSE,10674,0,FALSE,10645,0,FALSE,10565,0,FALSE,1725,0,FALSE,1829,0,FALSE,9468,0,FALSE,9006,0,FALSE,10350,0,99,124,21.86,25.14,TRUE,3,8606033,0.21,0.25,0.29,1.48,NA,NA,NA,NA,NA,NA,NA,1.15,1.44,10,0.11999999999999988,COVID19Death,,2021-10-11_08-00-56,day,18,0,8
CH,2020-03-23,23,150,FALSE,10674,0,FALSE,10645,0,FALSE,10565,0,FALSE,1725,0,FALSE,1829,0,FALSE,9468,0,FALSE,9006,0,FALSE,10350,0,115,147,25.29,28.79,TRUE,3,8606033,0.27,0.29,0.33,1.74,NA,NA,NA,NA,NA,NA,NA,1.34,1.71,16,0.19000000000000017,COVID19Death,,2021-10-11_08-00-56,day,23,0,8
CH,2020-03-24,19,169,FALSE,10674,0,FALSE,10645,0,FALSE,10565,0,FALSE,1725,0,FALSE,1829,0,FALSE,9468,0,FALSE,9006,0,FALSE,10350,0,122,164,26.86,31.07,TRUE,3,8606033,0.22,0.31,0.36,1.96,NA,NA,NA,NA,NA,NA,NA,1.42,1.91,7,0.07999999999999985,COVID19Death,,2021-10-11_08-00-56,day,19,0,8
CH,2020-03-25,39,208,FALSE,10674,0,FALSE,10645,0,FALSE,10565,0,FALSE,1725,0,FALSE,1829,0,FALSE,9468,0,FALSE,9006,0,FALSE,10350,0,153,200,32.29,34.71,TRUE,3,8606033,0.45,0.38,0.4,2.42,NA,NA,NA,NA,NA,NA,NA,1.78,2.32,31,0.3600000000000001,COVID19Death,,2021-10-11_08-00-56,day,39,0,8
CH,2020-03-26,38,246,FALSE,10674,0,FALSE,10645,0,FALSE,10565,0,FALSE,1725,0,FALSE,1829,0,FALSE,9468,0,FALSE,9006,0,FALSE,10350,0,177,234,36.14,38.07,TRUE,3,8606033,0.44,0.42,0.44,2.86,NA,NA,NA,NA,NA,NA,NA,2.06,2.72,24,0.28,COVID19Death,,2021-10-11_08-00-56,day,38,0,8
CH,2020-03-27,32,278,FALSE,10674,0,FALSE,10645,0,FALSE,10565,0,FALSE,1725,0,FALSE,1829,0,FALSE,9468,0,FALSE,9006,0,FALSE,10350,0,188,263,41.14,40.64,TRUE,3,8606033,0.37,0.48,0.47,3.23,NA,NA,NA,NA,NA,NA,NA,2.18,3.06,11,0.1200000000000001,COVID19Death,,2021-10-11_08-00-56,day,32,0,8
CH,2020-03-28,57,335,FALSE,10674,0,FALSE,10645,0,FALSE,10565,0,FALSE,1725,0,FALSE,1829,0,FALSE,9468,0,FALSE,9006,0,FALSE,10350,0,226,315,44.71,43.21,TRUE,3,8606033,0.66,0.52,0.5,3.89,NA,NA,NA,NA,NA,NA,NA,2.63,3.66,38,0.44999999999999973,COVID19Death,,2021-10-11_08-00-56,day,57,0,8
CH,2020-03-29,45,380,FALSE,10674,0,FALSE,10645,0,FALSE,10565,0,FALSE,1725,0,FALSE,1829,0,FALSE,9468,0,FALSE,9006,0,FALSE,10350,0,253,352,47.57,45.57,TRUE,3,8606033,0.52,0.55,0.53,4.42,NA,NA,NA,NA,NA,NA,NA,2.94,4.09,27,0.31000000000000005,COVID19Death,,2021-10-11_08-00-56,day,45,0,8
CH,2020-03-30,58,438,FALSE,10674,0,FALSE,10645,0,FALSE,10565,0,FALSE,1725,0,FALSE,1829,0,FALSE,9468,0,FALSE,9006,0,FALSE,10350,0,288,403,50.86,47.5,TRUE,3,8606033,0.67,0.59,0.55,5.09,NA,NA,NA,NA,NA,NA,NA,3.35,4.68,35,0.41000000000000014,COVID19Death,,2021-10-11_08-00-56,day,58,0,8
