geoRegion,datum,entries,entries_pos,entries_neg,sumTotal,freq,prct,anteil_pos,anteil_pos_diff,anteil_pos_all,pop,inz_entries,inzsumTotal,entries_diff_abs,entries_diff_inz,prct_diff,entries_diff_pct,type,version,datum_unit,datum_dboardformated,timeframe_all,timeframe_phase2,timeframe_phase2b,timeframe_phase3,timeframe_phase4,timeframe_28d,timeframe_14d,nachweismethode,type_variant
SG,202118,5155,563,4592,245027,1,100,10.9,-1.6999999999999993,13.8,510734,1009.33,47975.46,11,2.15,0,0.2,COVID19Test,2021-10-11_08-00-56,isoweek,2021-18,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,PCR,
SH,202118,792,73,719,38454,1,100,9.2,-1.8000000000000007,10.3,82348,961.77,46696.94,84,102,0,11.9,COVID19Test,2021-10-11_08-00-56,isoweek,2021-18,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,PCR,
SO,202118,3671,317,3354,147169,1,100,8.6,-1.4000000000000004,10.7,275247,1333.71,53467.98,457,166.03,0,14.2,COVID19Test,2021-10-11_08-00-56,isoweek,2021-18,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,PCR,
SZ,202118,2462,198,2264,84832,1,100,8,0.2999999999999998,11.9,160480,1534.15,52861.42,-257,-160.14,0,-9.5,COVID19Test,2021-10-11_08-00-56,isoweek,2021-18,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,PCR,
TG,202118,3239,250,2989,129277,1,100,7.7,-1.8999999999999995,11.8,279547,1158.66,46245.18,39,13.95,0,1.2,COVID19Test,2021-10-11_08-00-56,isoweek,2021-18,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,PCR,
TI,202118,4907,341,4566,238162,1,100,6.9,0.8000000000000007,12.3,351491,1396.05,67757.64,-110,-31.3,0,-2.2,COVID19Test,2021-10-11_08-00-56,isoweek,2021-18,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,PCR,
UR,202118,1960,136,1824,26433,1,100,6.9,0.9000000000000004,11.5,36703,5340.16,72018.64,-1739,-4738.04,0,-47,COVID19Test,2021-10-11_08-00-56,isoweek,2021-18,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,PCR,
VD,202118,14902,867,14035,596989,1,100,5.8,-1.2999999999999998,11.2,805098,1850.95,74151.1,1420,176.37,0,10.5,COVID19Test,2021-10-11_08-00-56,isoweek,2021-18,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,PCR,
VS,202118,5729,431,5298,204675,1,100,7.5,-0.5999999999999996,15.4,345525,1658.06,59235.95,-294,-85.08,0,-4.9,COVID19Test,2021-10-11_08-00-56,isoweek,2021-18,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,PCR,
ZG,202118,1887,77,1810,97229,1,100,4.1,-2.2,7.2,127642,1478.35,76173.2,224,175.49,0,13.5,COVID19Test,2021-10-11_08-00-56,isoweek,2021-18,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,PCR,
ZH,202118,20764,1297,19467,1007326,1,100,6.2,-1.0999999999999996,9.4,1539275,1348.95,65441.59,-4857,-315.53,0,-19,COVID19Test,2021-10-11_08-00-56,isoweek,2021-18,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,PCR,
AG,202119,4009,141,3868,105301,1,100,3.5,-0.5999999999999996,7.6,685845,584.53,15353.47,-192,-28,0,-4.6,COVID19Test,2021-10-11_08-00-56,isoweek,2021-19,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,Antigen_Schnelltest,
AI,202119,91,3,88,2383,1,100,3.3,-2.3,8.5,16128,564.24,14775.55,-16,-99.2,0,-15,COVID19Test,2021-10-11_08-00-56,isoweek,2021-19,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,Antigen_Schnelltest,
AR,202119,234,8,226,8352,1,100,3.4,-0.10000000000000009,11.4,55445,422.04,15063.58,34,61.32,0,17,COVID19Test,2021-10-11_08-00-56,isoweek,2021-19,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,Antigen_Schnelltest,
BE,202119,3525,115,3410,131717,1,100,3.3,-0.9000000000000004,6.1,1039474,339.11,12671.51,822,79.07,0,30.4,COVID19Test,2021-10-11_08-00-56,isoweek,2021-19,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,Antigen_Schnelltest,
BL,202119,1107,13,1094,20360,1,100,1.2,-0.7,14.6,289468,382.43,7033.59,52,17.97,0,4.9,COVID19Test,2021-10-11_08-00-56,isoweek,2021-19,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,Antigen_Schnelltest,
BS,202119,1077,13,1064,22149,1,100,1.2,-0.30000000000000004,3.6,195844,549.93,11309.51,-90,-45.95,0,-7.7,COVID19Test,2021-10-11_08-00-56,isoweek,2021-19,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,Antigen_Schnelltest,
FL,202119,58,0,58,1715,1,100,0,0,2.9,38747,149.69,4426.15,-22,-56.78,0,-27.5,COVID19Test,2021-10-11_08-00-56,isoweek,2021-19,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,Antigen_Schnelltest,
FR,202119,1198,77,1121,46013,1,100,6.4,-0.6999999999999993,10.7,321783,372.3,14299.39,-109,-33.87,0,-8.3,COVID19Test,2021-10-11_08-00-56,isoweek,2021-19,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,Antigen_Schnelltest,
GE,202119,3228,118,3110,76592,1,100,3.7,-1.5,9,504128,640.31,15192.97,320,63.47,0,11,COVID19Test,2021-10-11_08-00-56,isoweek,2021-19,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,Antigen_Schnelltest,
GL,202119,217,5,212,4876,1,100,2.3,-2.1000000000000005,6.4,40590,534.61,12012.81,-8,-19.71,0,-3.6,COVID19Test,2021-10-11_08-00-56,isoweek,2021-19,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,Antigen_Schnelltest,
GR,202119,1053,18,1035,57655,1,100,1.7,-1.7,5.4,199021,529.09,28969.3,-52,-26.13,0,-4.7,COVID19Test,2021-10-11_08-00-56,isoweek,2021-19,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,Antigen_Schnelltest,
JU,202119,474,47,427,10398,1,100,9.9,4.4,11.3,73584,644.16,14130.79,94,127.74,0,24.7,COVID19Test,2021-10-11_08-00-56,isoweek,2021-19,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,Antigen_Schnelltest,
LU,202119,1776,56,1720,45592,1,100,3.2,-2.0999999999999996,7.7,413120,429.9,11036.02,254,61.48,0,16.7,COVID19Test,2021-10-11_08-00-56,isoweek,2021-19,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,Antigen_Schnelltest,
NE,202119,1110,49,1061,29476,1,100,4.4,-0.09999999999999964,7.6,176496,628.91,16700.66,-166,-94.05,0,-13,COVID19Test,2021-10-11_08-00-56,isoweek,2021-19,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,Antigen_Schnelltest,
NW,202119,97,10,87,4719,1,100,10.3,0.8000000000000007,8.7,43087,225.13,10952.26,-8,-18.56,0,-7.6,COVID19Test,2021-10-11_08-00-56,isoweek,2021-19,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,Antigen_Schnelltest,
OW,202119,235,16,219,5285,1,100,6.8,4,7.4,37930,619.56,13933.56,19,50.09,0,8.8,COVID19Test,2021-10-11_08-00-56,isoweek,2021-19,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,Antigen_Schnelltest,
SG,202119,2136,87,2049,71110,1,100,4.1,-1,11.3,510734,418.22,13923.1,49,9.59,0,2.3,COVID19Test,2021-10-11_08-00-56,isoweek,2021-19,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,Antigen_Schnelltest,
SH,202119,459,10,449,13876,1,100,2.2,-0.8999999999999999,5.9,82348,557.39,16850.44,6,7.29,0,1.3,COVID19Test,2021-10-11_08-00-56,isoweek,2021-19,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,Antigen_Schnelltest,
SO,202119,1753,42,1711,37794,1,100,2.4,-0.8999999999999999,5.5,275247,636.88,13730.94,-70,-25.43,0,-3.8,COVID19Test,2021-10-11_08-00-56,isoweek,2021-19,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,Antigen_Schnelltest,
SZ,202119,548,22,526,19402,1,100,4,-3.5,10.2,160480,341.48,12089.98,-40,-24.92,0,-6.8,COVID19Test,2021-10-11_08-00-56,isoweek,2021-19,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,Antigen_Schnelltest,
TG,202119,1621,43,1578,46018,1,100,2.7,-0.09999999999999964,6.8,279547,579.87,16461.63,252,90.15,0,18.4,COVID19Test,2021-10-11_08-00-56,isoweek,2021-19,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,Antigen_Schnelltest,
TI,202119,4014,44,3970,50743,1,100,1.1,-1.1999999999999997,5.2,351491,1141.99,14436.5,1147,326.32,0,40,COVID19Test,2021-10-11_08-00-56,isoweek,2021-19,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,Antigen_Schnelltest,
UR,202119,188,1,187,3826,1,100,0.5,-1.1,4.4,36703,512.22,10424.22,-5,-13.62,0,-2.6,COVID19Test,2021-10-11_08-00-56,isoweek,2021-19,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,Antigen_Schnelltest,
VD,202119,6685,254,6431,178210,1,100,3.8,-1.9000000000000004,9.3,805098,830.33,22135.19,247,30.68,0,3.8,COVID19Test,2021-10-11_08-00-56,isoweek,2021-19,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,Antigen_Schnelltest,
VS,202119,2157,63,2094,62883,1,100,2.9,-1.1999999999999997,8.9,345525,624.27,18199.26,68,19.68,0,3.3,COVID19Test,2021-10-11_08-00-56,isoweek,2021-19,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,Antigen_Schnelltest,
ZG,202119,1368,38,1330,25570,1,100,2.8,-0.7000000000000002,6.2,127642,1071.75,20032.59,149,116.74,0,12.2,COVID19Test,2021-10-11_08-00-56,isoweek,2021-19,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,Antigen_Schnelltest,
ZH,202119,10174,218,9956,314717,1,100,2.1,-1.2999999999999998,6.8,1539275,660.96,20445.79,986,64.06,0,10.7,COVID19Test,2021-10-11_08-00-56,isoweek,2021-19,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,Antigen_Schnelltest,
AG,202119,6705,517,6188,345166,1,100,7.7,-2.3999999999999995,11.6,685845,977.63,50327.11,88,12.83,0,1.3,COVID19Test,2021-10-11_08-00-56,isoweek,2021-19,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,PCR,
AI,202119,614,18,596,9744,1,100,2.9,-0.10000000000000009,9.5,16128,3807.04,60416.67,54,334.82,0,9.6,COVID19Test,2021-10-11_08-00-56,isoweek,2021-19,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,PCR,
