sex,geoRegion,datum,entries,timeframe_all,timeframe_phase2,timeframe_phase2b,timeframe_phase3,timeframe_phase4,timeframe_vacc_info,timeframe_28d,timeframe_14d,sumTotal,offset_vacc_info,sumTotal_vacc_info,freq,prct,pop,inz_entries,inzsumTotal,type,type_variant,version,datum_unit,datum_dboardformated,entries_diff_abs,entries_diff_inz,entries_diff_pct,prct_diff
unknown,AG,202117,0,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,9,7,2,0,0,NA,NA,NA,COVID19Cases,sex,2021-10-11_08-00-56,isoweek,2021-17,0,NA,NA,0
unknown,AI,202117,0,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,0,0,0,0,0,NA,NA,NA,COVID19Cases,sex,2021-10-11_08-00-56,isoweek,2021-17,0,NA,NA,0
unknown,AR,202117,0,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,1,1,0,0,0,NA,NA,NA,COVID19Cases,sex,2021-10-11_08-00-56,isoweek,2021-17,0,NA,NA,0
unknown,BE,202117,0,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,28,23,5,0,0,NA,NA,NA,COVID19Cases,sex,2021-10-11_08-00-56,isoweek,2021-17,0,NA,NA,0
unknown,BL,202117,0,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,2,2,0,0,0,NA,NA,NA,COVID19Cases,sex,2021-10-11_08-00-56,isoweek,2021-17,0,NA,NA,0
unknown,BS,202117,0,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,17,8,9,0,0,NA,NA,NA,COVID19Cases,sex,2021-10-11_08-00-56,isoweek,2021-17,-2,NA,-100,-0.5
unknown,FL,202117,0,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,0,0,0,0,0,NA,NA,NA,COVID19Cases,sex,2021-10-11_08-00-56,isoweek,2021-17,0,NA,NA,0
unknown,FR,202117,0,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,4,3,1,0,0,NA,NA,NA,COVID19Cases,sex,2021-10-11_08-00-56,isoweek,2021-17,0,NA,NA,0
unknown,GE,202117,0,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,11,7,4,0,0,NA,NA,NA,COVID19Cases,sex,2021-10-11_08-00-56,isoweek,2021-17,0,NA,NA,0
unknown,GL,202117,0,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,2,2,0,0,0,NA,NA,NA,COVID19Cases,sex,2021-10-11_08-00-56,isoweek,2021-17,0,NA,NA,0
