date,altersklasse_covid19,vaccination_status,entries,sumTotal,pop,inz_entries,inzsumTotal,geoRegion,type,type_variant,vaccine,data_completeness,version
202105,0 - 9,partially_vaccinated,0,0,13,0,NA,CHFL,COVID19Cases,vaccine,all,limited,2021-10-11_08-00-56
202105,0 - 9,not_vaccinated,7,14,877074,0.8,NA,CHFL,COVID19Cases,vaccine,all,limited,2021-10-11_08-00-56
202105,0 - 9,unknown,532,835,NA,NA,NA,CHFL,COVID19Cases,vaccine,all,limited,2021-10-11_08-00-56
202105,10 - 19,fully_vaccinated,0,0,204,0,NA,CHFL,COVID19Cases,vaccine,all,limited,2021-10-11_08-00-56
202105,10 - 19,partially_vaccinated,0,1,1098,0,NA,CHFL,COVID19Cases,vaccine,all,limited,2021-10-11_08-00-56
202105,10 - 19,not_vaccinated,2,3,846773,0.24,NA,CHFL,COVID19Cases,vaccine,all,limited,2021-10-11_08-00-56
202105,10 - 19,unknown,1352,2259,NA,NA,NA,CHFL,COVID19Cases,vaccine,all,limited,2021-10-11_08-00-56
202105,20 - 29,fully_vaccinated,0,0,1480,0,NA,CHFL,COVID19Cases,vaccine,all,limited,2021-10-11_08-00-56
202105,20 - 29,partially_vaccinated,1,1,8199,12.2,NA,CHFL,COVID19Cases,vaccine,all,limited,2021-10-11_08-00-56
202105,20 - 29,not_vaccinated,8,10,1040180,0.77,NA,CHFL,COVID19Cases,vaccine,all,limited,2021-10-11_08-00-56
202105,20 - 29,unknown,1446,2460,NA,NA,NA,CHFL,COVID19Cases,vaccine,all,limited,2021-10-11_08-00-56
202105,30 - 39,fully_vaccinated,0,0,2102,0,NA,CHFL,COVID19Cases,vaccine,all,limited,2021-10-11_08-00-56
202105,30 - 39,partially_vaccinated,1,1,13226,7.56,NA,CHFL,COVID19Cases,vaccine,all,limited,2021-10-11_08-00-56
202105,30 - 39,not_vaccinated,6,11,1218815,0.49,NA,CHFL,COVID19Cases,vaccine,all,limited,2021-10-11_08-00-56
202105,30 - 39,unknown,1675,2937,NA,NA,NA,CHFL,COVID19Cases,vaccine,all,limited,2021-10-11_08-00-56
202105,40 - 49,fully_vaccinated,0,0,3091,0,NA,CHFL,COVID19Cases,vaccine,all,limited,2021-10-11_08-00-56
202105,40 - 49,partially_vaccinated,0,0,17975,0,NA,CHFL,COVID19Cases,vaccine,all,limited,2021-10-11_08-00-56
202105,40 - 49,not_vaccinated,8,11,1182758,0.68,NA,CHFL,COVID19Cases,vaccine,all,limited,2021-10-11_08-00-56
202105,40 - 49,unknown,1643,2837,NA,NA,NA,CHFL,COVID19Cases,vaccine,all,limited,2021-10-11_08-00-56
202105,50 - 59,fully_vaccinated,0,0,4651,0,NA,CHFL,COVID19Cases,vaccine,all,limited,2021-10-11_08-00-56
202105,50 - 59,partially_vaccinated,0,0,28265,0,NA,CHFL,COVID19Cases,vaccine,all,limited,2021-10-11_08-00-56
202105,50 - 59,not_vaccinated,26,34,1265993,2.05,NA,CHFL,COVID19Cases,vaccine,all,limited,2021-10-11_08-00-56
202105,50 - 59,unknown,1462,2532,NA,NA,NA,CHFL,COVID19Cases,vaccine,all,limited,2021-10-11_08-00-56
202105,60 - 69,fully_vaccinated,0,0,4393,0,NA,CHFL,COVID19Cases,vaccine,all,limited,2021-10-11_08-00-56
202105,60 - 69,partially_vaccinated,1,1,29768,3.36,NA,CHFL,COVID19Cases,vaccine,all,limited,2021-10-11_08-00-56
202105,60 - 69,not_vaccinated,20,36,918609,2.18,NA,CHFL,COVID19Cases,vaccine,all,limited,2021-10-11_08-00-56
202105,60 - 69,unknown,794,1406,NA,NA,NA,CHFL,COVID19Cases,vaccine,all,limited,2021-10-11_08-00-56
202105,70 - 79,fully_vaccinated,1,1,10736,9.31,NA,CHFL,COVID19Cases,vaccine,all,limited,2021-10-11_08-00-56
202105,70 - 79,partially_vaccinated,2,3,92681,2.16,NA,CHFL,COVID19Cases,vaccine,all,limited,2021-10-11_08-00-56
202105,70 - 79,not_vaccinated,33,51,621486,5.31,NA,CHFL,COVID19Cases,vaccine,all,limited,2021-10-11_08-00-56
202105,70 - 79,unknown,450,786,NA,NA,NA,CHFL,COVID19Cases,vaccine,all,limited,2021-10-11_08-00-56
202105,80+,fully_vaccinated,2,3,20158,9.92,NA,CHFL,COVID19Cases,vaccine,all,limited,2021-10-11_08-00-56
202105,80+,partially_vaccinated,24,30,123421,19.45,NA,CHFL,COVID19Cases,vaccine,all,limited,2021-10-11_08-00-56
202105,80+,not_vaccinated,60,107,311619,19.25,NA,CHFL,COVID19Cases,vaccine,all,limited,2021-10-11_08-00-56
202105,80+,unknown,529,912,NA,NA,NA,CHFL,COVID19Cases,vaccine,all,limited,2021-10-11_08-00-56
202105,Unbekannt,fully_vaccinated,0,0,NA,NA,NA,CHFL,COVID19Cases,vaccine,all,limited,2021-10-11_08-00-56
202105,Unbekannt,partially_vaccinated,0,0,NA,NA,NA,CHFL,COVID19Cases,vaccine,all,limited,2021-10-11_08-00-56
202105,Unbekannt,not_vaccinated,0,0,NA,NA,NA,CHFL,COVID19Cases,vaccine,all,limited,2021-10-11_08-00-56
202105,Unbekannt,unknown,1,2,NA,NA,NA,CHFL,COVID19Cases,vaccine,all,limited,2021-10-11_08-00-56
202106,0 - 9,fully_vaccinated,0,0,14,0,NA,CHFL,COVID19Cases,vaccine,all,limited,2021-10-11_08-00-56
202106,0 - 9,partially_vaccinated,0,0,16,0,NA,CHFL,COVID19Cases,vaccine,all,limited,2021-10-11_08-00-56
202106,0 - 9,not_vaccinated,4,18,877069,0.46,NA,CHFL,COVID19Cases,vaccine,all,limited,2021-10-11_08-00-56
202106,0 - 9,unknown,338,1173,NA,NA,NA,CHFL,COVID19Cases,vaccine,all,limited,2021-10-11_08-00-56
202106,10 - 19,fully_vaccinated,0,0,428,0,NA,CHFL,COVID19Cases,vaccine,all,limited,2021-10-11_08-00-56
202106,10 - 19,partially_vaccinated,0,1,1235,0,NA,CHFL,COVID19Cases,vaccine,all,limited,2021-10-11_08-00-56
202106,10 - 19,not_vaccinated,5,8,846412,0.59,NA,CHFL,COVID19Cases,vaccine,all,limited,2021-10-11_08-00-56
202106,10 - 19,unknown,1024,3283,NA,NA,NA,CHFL,COVID19Cases,vaccine,all,limited,2021-10-11_08-00-56
202106,20 - 29,fully_vaccinated,0,0,3778,0,NA,CHFL,COVID19Cases,vaccine,all,limited,2021-10-11_08-00-56
202106,20 - 29,partially_vaccinated,1,2,8163,12.25,NA,CHFL,COVID19Cases,vaccine,all,limited,2021-10-11_08-00-56
202106,20 - 29,not_vaccinated,6,16,1037918,0.58,NA,CHFL,COVID19Cases,vaccine,all,limited,2021-10-11_08-00-56
202106,20 - 29,unknown,1243,3703,NA,NA,NA,CHFL,COVID19Cases,vaccine,all,limited,2021-10-11_08-00-56
202106,30 - 39,fully_vaccinated,0,0,5821,0,NA,CHFL,COVID19Cases,vaccine,all,limited,2021-10-11_08-00-56
202106,30 - 39,partially_vaccinated,0,1,12946,0,NA,CHFL,COVID19Cases,vaccine,all,limited,2021-10-11_08-00-56
202106,30 - 39,not_vaccinated,5,16,1215376,0.41,NA,CHFL,COVID19Cases,vaccine,all,limited,2021-10-11_08-00-56
202106,30 - 39,unknown,1348,4285,NA,NA,NA,CHFL,COVID19Cases,vaccine,all,limited,2021-10-11_08-00-56
202106,40 - 49,fully_vaccinated,0,0,7682,0,NA,CHFL,COVID19Cases,vaccine,all,limited,2021-10-11_08-00-56
202106,40 - 49,partially_vaccinated,1,1,18209,5.49,NA,CHFL,COVID19Cases,vaccine,all,limited,2021-10-11_08-00-56
202106,40 - 49,not_vaccinated,9,20,1177933,0.76,NA,CHFL,COVID19Cases,vaccine,all,limited,2021-10-11_08-00-56
202106,40 - 49,unknown,1338,4175,NA,NA,NA,CHFL,COVID19Cases,vaccine,all,limited,2021-10-11_08-00-56
202106,50 - 59,fully_vaccinated,0,0,10719,0,NA,CHFL,COVID19Cases,vaccine,all,limited,2021-10-11_08-00-56
202106,50 - 59,partially_vaccinated,1,1,30484,3.28,NA,CHFL,COVID19Cases,vaccine,all,limited,2021-10-11_08-00-56
202106,50 - 59,not_vaccinated,13,47,1257706,1.03,NA,CHFL,COVID19Cases,vaccine,all,limited,2021-10-11_08-00-56
202106,50 - 59,unknown,1132,3664,NA,NA,NA,CHFL,COVID19Cases,vaccine,all,limited,2021-10-11_08-00-56
202106,60 - 69,fully_vaccinated,0,0,9202,0,NA,CHFL,COVID19Cases,vaccine,all,limited,2021-10-11_08-00-56
202106,60 - 69,partially_vaccinated,3,4,33066,9.07,NA,CHFL,COVID19Cases,vaccine,all,limited,2021-10-11_08-00-56
202106,60 - 69,not_vaccinated,27,63,910502,2.97,NA,CHFL,COVID19Cases,vaccine,all,limited,2021-10-11_08-00-56
202106,60 - 69,unknown,623,2029,NA,NA,NA,CHFL,COVID19Cases,vaccine,all,limited,2021-10-11_08-00-56
202106,70 - 79,fully_vaccinated,1,2,24542,4.07,NA,CHFL,COVID19Cases,vaccine,all,limited,2021-10-11_08-00-56
202106,70 - 79,partially_vaccinated,8,11,100641,7.95,NA,CHFL,COVID19Cases,vaccine,all,limited,2021-10-11_08-00-56
202106,70 - 79,not_vaccinated,29,80,599720,4.84,NA,CHFL,COVID19Cases,vaccine,all,limited,2021-10-11_08-00-56
202106,70 - 79,unknown,348,1134,NA,NA,NA,CHFL,COVID19Cases,vaccine,all,limited,2021-10-11_08-00-56
202106,80+,fully_vaccinated,1,4,40950,2.44,NA,CHFL,COVID19Cases,vaccine,all,limited,2021-10-11_08-00-56
