date,altersklasse_covid19,vaccination_status,entries,sumTotal,pop,inz_entries,inzsumTotal,geoRegion,type,type_variant,vaccine,data_completeness,version
202105,0 - 9,partially_vaccinated,0,0,13,0,NA,CHFL,COVID19Hosp,vaccine,all,limited,2021-10-11_08-00-56
202105,0 - 9,not_vaccinated,6,12,877074,0.68,NA,CHFL,COVID19Hosp,vaccine,all,limited,2021-10-11_08-00-56
202105,0 - 9,unknown,0,2,NA,NA,NA,CHFL,COVID19Hosp,vaccine,all,limited,2021-10-11_08-00-56
202105,10 - 19,fully_vaccinated,0,0,204,0,NA,CHFL,COVID19Hosp,vaccine,all,limited,2021-10-11_08-00-56
202105,10 - 19,partially_vaccinated,0,0,1098,0,NA,CHFL,COVID19Hosp,vaccine,all,limited,2021-10-11_08-00-56
202105,10 - 19,not_vaccinated,1,2,846773,0.12,NA,CHFL,COVID19Hosp,vaccine,all,limited,2021-10-11_08-00-56
202105,10 - 19,unknown,2,3,NA,NA,NA,CHFL,COVID19Hosp,vaccine,all,limited,2021-10-11_08-00-56
202105,20 - 29,fully_vaccinated,0,0,1480,0,NA,CHFL,COVID19Hosp,vaccine,all,limited,2021-10-11_08-00-56
202105,20 - 29,partially_vaccinated,0,0,8199,0,NA,CHFL,COVID19Hosp,vaccine,all,limited,2021-10-11_08-00-56
202105,20 - 29,not_vaccinated,3,4,1040180,0.29,NA,CHFL,COVID19Hosp,vaccine,all,limited,2021-10-11_08-00-56
202105,20 - 29,unknown,9,11,NA,NA,NA,CHFL,COVID19Hosp,vaccine,all,limited,2021-10-11_08-00-56
202105,30 - 39,fully_vaccinated,0,0,2102,0,NA,CHFL,COVID19Hosp,vaccine,all,limited,2021-10-11_08-00-56
202105,30 - 39,partially_vaccinated,0,0,13226,0,NA,CHFL,COVID19Hosp,vaccine,all,limited,2021-10-11_08-00-56
202105,30 - 39,not_vaccinated,8,10,1218815,0.66,NA,CHFL,COVID19Hosp,vaccine,all,limited,2021-10-11_08-00-56
202105,30 - 39,unknown,14,18,NA,NA,NA,CHFL,COVID19Hosp,vaccine,all,limited,2021-10-11_08-00-56
202105,40 - 49,fully_vaccinated,0,0,3091,0,NA,CHFL,COVID19Hosp,vaccine,all,limited,2021-10-11_08-00-56
202105,40 - 49,partially_vaccinated,0,0,17975,0,NA,CHFL,COVID19Hosp,vaccine,all,limited,2021-10-11_08-00-56
202105,40 - 49,not_vaccinated,6,12,1182758,0.51,NA,CHFL,COVID19Hosp,vaccine,all,limited,2021-10-11_08-00-56
202105,40 - 49,unknown,16,31,NA,NA,NA,CHFL,COVID19Hosp,vaccine,all,limited,2021-10-11_08-00-56
202105,50 - 59,fully_vaccinated,0,0,4651,0,NA,CHFL,COVID19Hosp,vaccine,all,limited,2021-10-11_08-00-56
202105,50 - 59,partially_vaccinated,0,0,28265,0,NA,CHFL,COVID19Hosp,vaccine,all,limited,2021-10-11_08-00-56
202105,50 - 59,not_vaccinated,11,18,1265993,0.87,NA,CHFL,COVID19Hosp,vaccine,all,limited,2021-10-11_08-00-56
202105,50 - 59,unknown,40,74,NA,NA,NA,CHFL,COVID19Hosp,vaccine,all,limited,2021-10-11_08-00-56
202105,60 - 69,fully_vaccinated,0,0,4393,0,NA,CHFL,COVID19Hosp,vaccine,all,limited,2021-10-11_08-00-56
202105,60 - 69,partially_vaccinated,0,0,29768,0,NA,CHFL,COVID19Hosp,vaccine,all,limited,2021-10-11_08-00-56
202105,60 - 69,not_vaccinated,25,31,918609,2.72,NA,CHFL,COVID19Hosp,vaccine,all,limited,2021-10-11_08-00-56
202105,60 - 69,unknown,60,101,NA,NA,NA,CHFL,COVID19Hosp,vaccine,all,limited,2021-10-11_08-00-56
