,month_number,year,month,state,end_date,new_deaths_per_month,new_cases_per_month
912,9,2020,10,Connecticut,2020-10-31,108,13657
913,10,2020,11,Connecticut,2020-11-30,404,46088
914,11,2020,12,Connecticut,2020-12-31,975,68413
915,12,2021,1,Connecticut,2021-01-31,1051,64315
916,13,2021,2,Connecticut,2021-02-28,576,29923
917,14,2021,3,Connecticut,2021-03-31,264,30942
918,15,2021,4,Connecticut,2021-04-30,211,28345
919,16,2021,5,Connecticut,2021-05-31,141,8273
920,17,2021,6,Connecticut,2021-06-30,40,1846
921,18,2021,7,Connecticut,2021-07-31,15,5397
922,19,2021,8,Connecticut,2021-08-31,65,18323
923,20,2021,9,Connecticut,2021-09-30,271,17273
924,0,2020,1,Wisconsin,2020-01-31,0,0
925,1,2020,2,Wisconsin,2020-02-29,0,0
926,2,2020,3,Wisconsin,2020-03-31,16,1351
927,3,2020,4,Wisconsin,2020-04-30,300,5503
928,4,2020,5,Wisconsin,2020-05-31,276,11549
929,5,2020,6,Wisconsin,2020-06-30,199,13259
930,6,2020,7,Wisconsin,2020-07-31,150,25272
931,7,2020,8,Wisconsin,2020-08-31,189,23634
932,8,2020,9,Wisconsin,2020-09-30,207,48555
933,9,2020,10,Wisconsin,2020-10-31,755,108747
934,10,2020,11,Wisconsin,2020-11-30,1402,173860
935,11,2020,12,Wisconsin,2020-12-31,1748,108708
936,12,2021,1,Wisconsin,2021-01-31,1192,71702
937,13,2021,2,Wisconsin,2021-02-28,580,25227
938,14,2021,3,Wisconsin,2021-03-31,301,18674
939,15,2021,4,Wisconsin,2021-04-30,235,24409
940,16,2021,5,Wisconsin,2021-05-31,306,13970
941,17,2021,6,Wisconsin,2021-06-30,272,3202
942,18,2021,7,Wisconsin,2021-07-31,163,10271
943,19,2021,8,Wisconsin,2021-08-31,171,46047
944,20,2021,9,Wisconsin,2021-09-30,426,76224
945,0,2020,1,Minnesota,2020-01-31,0,0
946,1,2020,2,Minnesota,2020-02-29,0,0
947,2,2020,3,Minnesota,2020-03-31,17,689
948,3,2020,4,Minnesota,2020-04-30,326,4447
949,4,2020,5,Minnesota,2020-05-31,717,20072
950,5,2020,6,Minnesota,2020-06-30,422,11508
951,6,2020,7,Minnesota,2020-07-31,164,18472
952,7,2020,8,Minnesota,2020-08-31,220,20676
953,8,2020,9,Minnesota,2020-09-30,223,23270
954,9,2020,10,Minnesota,2020-10-31,422,49338
955,10,2020,11,Minnesota,2020-11-30,1141,170291
956,11,2020,12,Minnesota,2020-12-31,1730,96539
957,12,2021,1,Minnesota,2021-01-31,886,46505
958,13,2021,2,Minnesota,2021-02-28,283,22787
959,14,2021,3,Minnesota,2021-03-31,375,34935
960,15,2021,4,Minnesota,2021-04-30,311,56283
961,16,2021,5,Minnesota,2021-05-31,282,25638
962,17,2021,6,Minnesota,2021-06-30,168,3915
963,18,2021,7,Minnesota,2021-07-31,76,7543
964,19,2021,8,Minnesota,2021-08-31,141,37056
965,20,2021,9,Minnesota,2021-09-30,352,61130
966,0,2020,1,Nebraska,2020-01-31,0,0
967,1,2020,2,Nebraska,2020-02-29,0,0
968,2,2020,3,Nebraska,2020-03-31,3,180
969,3,2020,4,Nebraska,2020-04-30,67,4281
970,4,2020,5,Nebraska,2020-05-31,100,9605
971,5,2020,6,Nebraska,2020-06-30,104,5065
972,6,2020,7,Nebraska,2020-07-31,39,7035
973,7,2020,8,Nebraska,2020-08-31,84,8196
974,8,2020,9,Nebraska,2020-09-30,81,11262
975,9,2020,10,Nebraska,2020-10-31,174,25957
976,10,2020,11,Nebraska,2020-11-30,366,55761
977,11,2020,12,Nebraska,2020-12-31,633,39891
978,12,2021,1,Nebraska,2021-01-31,270,24421
979,13,2021,2,Nebraska,2021-02-28,161,9801
980,14,2021,3,Nebraska,2021-03-31,98,9560
981,15,2021,4,Nebraska,2021-04-30,65,9251
982,16,2021,5,Nebraska,2021-05-31,4,3255
983,17,2021,6,Nebraska,2021-06-30,11,1170
984,18,2021,7,Nebraska,2021-07-31,20,4203
985,19,2021,8,Nebraska,2021-08-31,42,16171
986,20,2021,9,Nebraska,2021-09-30,518,22014
987,0,2020,1,Delaware,2020-01-31,0,0
988,1,2020,2,Delaware,2020-02-29,0,0
989,2,2020,3,Delaware,2020-03-31,10,414
990,3,2020,4,Delaware,2020-04-30,142,4632
991,4,2020,5,Delaware,2020-05-31,217,4705
992,5,2020,6,Delaware,2020-06-30,140,1977
993,6,2020,7,Delaware,2020-07-31,76,3598
994,7,2020,8,Delaware,2020-08-31,20,2439
995,8,2020,9,Delaware,2020-09-30,31,3141
996,9,2020,10,Delaware,2020-10-31,74,4380
997,10,2020,11,Delaware,2020-11-30,67,11232
998,11,2020,12,Delaware,2020-12-31,153,22329
999,12,2021,1,Delaware,2021-01-31,160,20976
1000,13,2021,2,Delaware,2021-02-28,332,8888
1001,14,2021,3,Delaware,2021-03-31,137,7193
1002,15,2021,4,Delaware,2021-04-30,66,9353
1003,16,2021,5,Delaware,2021-05-31,36,3619
1004,17,2021,6,Delaware,2021-06-30,33,868
1005,18,2021,7,Delaware,2021-07-31,139,1663
1006,19,2021,8,Delaware,2021-08-31,47,8445
1007,20,2021,9,Delaware,2021-09-30,74,13111
